Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Acidente V.Cereb
Tabagismo: Sim
Sedentarismo: Sim
Sobrepeso: Sim
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"310020 ABAETE";-;8;8
"310070 AGUA COMPRIDA";-;1;1
"310110 AIMORES";-;2;2
"310120 AIURUOCA";-;1;1
"310130 ALAGOA";-;1;1
"310150 ALEM PARAIBA";-;5;5
"310160 ALFENAS";-;6;6
"310190 ALPINOPOLIS";-;2;2
"310200 ALTEROSA";-;3;3
"310210 ALTO RIO DOCE";-;1;1
"310260 ANDRADAS";1;30;31
"310290 ANTONIO CARLOS";-;1;1
"310340 ARACUAI";-;2;2
"310350 ARAGUARI";-;15;15
"310375 ARAPORA";-;7;7
"310380 ARAPUA";-;1;1
"310400 ARAXA";5;14;19
"310420 ARCOS";-;2;2
"310440 ARGIRITA";-;1;1
"310450 ARINOS";1;3;4
"310460 ASTOLFO DUTRA";-;1;1
"310490 BAEPENDI";-;6;6
"310510 BAMBUI";-;1;1
"310560 BARBACENA";-;5;5
"310590 BARROSO";-;1;1
"310600 BELA VISTA DE MINAS";-;1;1
"310620 BELO HORIZONTE";-;25;25
"310630 BELO ORIENTE";-;3;3
"310670 BETIM";-;39;39
"310680 BIAS FORTES";-;1;1
"310690 BICAS";-;2;2
"310710 BOA ESPERANCA";-;23;23
"310740 BOM DESPACHO";-;7;7
"310780 BOM JESUS DO GALHO";-;1;1
"310800 BOM SUCESSO";-;9;9
"310830 BORDA DA MATA";-;2;2
"310860 BRASILIA DE MINAS";1;-;1
"310890 BRAZOPOLIS";1;6;7
"310900 BRUMADINHO";1;5;6
"310920 BUENOPOLIS";-;1;1
"310930 BURITIS";-;1;1
"310950 CABO VERDE";-;1;1
"310970 CACHOEIRA DE MINAS";-;1;1
"310980 CACHOEIRA DOURADA";-;1;1
"311000 CAETE";-;3;3
"311030 CALDAS";-;2;2
"311050 CAMANDUCAIA";-;1;1
"311090 CAMPANHA";-;4;4
"311110 CAMPINA VERDE";-;2;2
"311120 CAMPO BELO";-;10;10
"311140 CAMPO FLORIDO";-;2;2
"311150 CAMPOS ALTOS";-;2;2
"311170 CANAA";-;2;2
"311180 CANAPOLIS";-;1;1
"311200 CANDEIAS";1;3;4
"311230 CAPELINHA";-;2;2
"311240 CAPETINGA";-;1;1
"311310 CARANAIBA";-;1;1
"311320 CARANDAI";-;1;1
"311330 CARANGOLA";-;1;1
"311340 CARATINGA";-;12;12
"311350 CARBONITA";-;2;2
"311370 CARLOS CHAGAS";-;1;1
"311380 CARMESIA";-;1;1
"311390 CARMO DA CACHOEIRA";-;1;1
"311400 CARMO DA MATA";-;1;1
"311410 CARMO DE MINAS";-;1;1
"311420 CARMO DO CAJURU";-;1;1
"311430 CARMO DO PARANAIBA";-;8;8
"311450 CARMOPOLIS DE MINAS";-;4;4
"311455 CARNEIRINHO";-;6;6
"311510 CASSIA";-;1;1
"311530 CATAGUASES";1;18;19
"311590 CHACARA";-;1;1
"311640 CLARAVAL";1;1;2
"311660 CLAUDIO";-;5;5
"311730 CONCEICAO DAS ALAGOAS";-;3;3
"311787 CONFINS";-;1;1
"311790 CONGONHAL";-;1;1
"311820 CONQUISTA";-;4;4
"311830 CONSELHEIRO LAFAIETE";-;11;11
"311840 CONSELHEIRO PENA";-;2;2
"311850 CONSOLACAO";-;6;6
"311860 CONTAGEM";1;23;24
"311870 COQUEIRAL";-;1;1
"311900 CORDISLANDIA";-;1;1
"311930 COROMANDEL";-;5;5
"311940 CORONEL FABRICIANO";-;11;11
"311995 CORREGO FUNDO";-;1;1
"312050 CRISTINA";-;9;9
"312060 CRUCILANDIA";-;1;1
"312080 CRUZILIA";-;1;1
"312090 CURVELO";-;12;12
"312110 DELFIM MOREIRA";-;2;2
"312125 DELTA";-;1;1
"312180 DIONISIO";-;2;2
"312200 DIVINO";-;2;2
"312230 DIVINOPOLIS";-;18;18
"312300 DORES DE CAMPOS";-;1;1
"312320 DORES DO INDAIA";-;2;2
"312390 ENTRE RIOS DE MINAS";-;3;3
"312410 ESMERALDAS";-;1;1
"312420 ESPERA FELIZ";-;2;2
"312470 ESTRELA DO INDAIA";-;4;4
"312490 EUGENOPOLIS";-;1;1
"312510 EXTREMA";-;16;16
"312560 FELISBURGO";-;1;1
"312610 FORMIGA";-;8;8
"312630 FORTALEZA DE MINAS";-;4;4
