Cidade,Sim,Não,Total,Doenças
ABADIA DOS DOURADOS,-,2,2,acid_vas_cerebral
ABAETE,4,92,96,acid_vas_cerebral
ACAIACA,1,4,5,acid_vas_cerebral
ACUCENA,-,24,24,acid_vas_cerebral
AGUA BOA,-,1,1,acid_vas_cerebral
AGUA COMPRIDA,-,16,16,acid_vas_cerebral
AGUANIL,-,1,1,acid_vas_cerebral
AGUAS FORMOSAS,-,11,11,acid_vas_cerebral
AGUAS VERMELHAS,-,1,1,acid_vas_cerebral
AIMORES,-,33,33,acid_vas_cerebral
AIURUOCA,-,16,16,acid_vas_cerebral
ALAGOA,-,8,8,acid_vas_cerebral
ALBERTINA,1,7,8,acid_vas_cerebral
ALEM PARAIBA,8,210,218,acid_vas_cerebral
ALFENAS,1,136,137,acid_vas_cerebral
ALFREDO VASCONCELOS,-,11,11,acid_vas_cerebral
ALPERCATA,1,8,9,acid_vas_cerebral
ALPINOPOLIS,-,58,58,acid_vas_cerebral
ALTEROSA,1,60,61,acid_vas_cerebral
ALTO CAPARAO,-,1,1,acid_vas_cerebral
ALTO RIO DOCE,-,39,39,acid_vas_cerebral
ALVORADA DE MINAS,1,1,2,acid_vas_cerebral
AMPARO DO SERRA,-,4,4,acid_vas_cerebral
ANDRADAS,7,457,464,acid_vas_cerebral
CACHOEIRA DE PAJEU,-,4,4,acid_vas_cerebral
ANDRELANDIA,-,43,43,acid_vas_cerebral
ANGELANDIA,2,10,12,acid_vas_cerebral
ANTONIO CARLOS,2,50,52,acid_vas_cerebral
ANTONIO DIAS,-,2,2,acid_vas_cerebral
ANTONIO PRADO DE MINAS,-,5,5,acid_vas_cerebral
ARACAI,1,6,7,acid_vas_cerebral
ARACITABA,-,1,1,acid_vas_cerebral
ARACUAI,-,43,43,acid_vas_cerebral
ARAGUARI,8,329,337,acid_vas_cerebral
ARANTINA,-,1,1,acid_vas_cerebral
ARAPONGA,-,12,12,acid_vas_cerebral
ARAPORA,-,45,45,acid_vas_cerebral
ARAPUA,-,5,5,acid_vas_cerebral
ARAUJOS,-,11,11,acid_vas_cerebral
ARAXA,11,242,253,acid_vas_cerebral
ARCEBURGO,-,8,8,acid_vas_cerebral
ARCOS,2,116,118,acid_vas_cerebral
AREADO,1,23,24,acid_vas_cerebral
ARGIRITA,-,18,18,acid_vas_cerebral
ARICANDUVA,-,5,5,acid_vas_cerebral
ARINOS,4,14,18,acid_vas_cerebral
ASTOLFO DUTRA,5,37,42,acid_vas_cerebral
AUGUSTO DE LIMA,-,17,17,acid_vas_cerebral
BAEPENDI,5,89,94,acid_vas_cerebral
BALDIM,-,5,5,acid_vas_cerebral
BAMBUI,-,13,13,acid_vas_cerebral
BANDEIRA,-,3,3,acid_vas_cerebral
BARAO DE COCAIS,-,28,28,acid_vas_cerebral
BARAO DE MONTE ALTO,-,25,25,acid_vas_cerebral
BARBACENA,4,125,129,acid_vas_cerebral
BARRA LONGA,-,1,1,acid_vas_cerebral
BARROSO,1,74,75,acid_vas_cerebral
BELA VISTA DE MINAS,1,5,6,acid_vas_cerebral
BELO HORIZONTE,14,658,672,acid_vas_cerebral
BELO ORIENTE,1,68,69,acid_vas_cerebral
BELO VALE,-,4,4,acid_vas_cerebral
BERILO,-,3,3,acid_vas_cerebral
BERTOPOLIS,-,2,2,acid_vas_cerebral
