Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Acidente V.Cereb
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"310010 ABADIA DOS DOURADOS";-;2;2
"310020 ABAETE";4;92;96
"310040 ACAIACA";1;4;5
"310050 ACUCENA";-;24;24
"310060 AGUA BOA";-;1;1
"310070 AGUA COMPRIDA";-;16;16
"310080 AGUANIL";-;1;1
"310090 AGUAS FORMOSAS";-;11;11
"310100 AGUAS VERMELHAS";-;1;1
"310110 AIMORES";-;33;33
"310120 AIURUOCA";-;16;16
"310130 ALAGOA";-;8;8
"310140 ALBERTINA";1;7;8
"310150 ALEM PARAIBA";8;210;218
"310160 ALFENAS";1;136;137
"310163 ALFREDO VASCONCELOS";-;11;11
"310180 ALPERCATA";1;8;9
"310190 ALPINOPOLIS";-;58;58
"310200 ALTEROSA";1;60;61
"310205 ALTO CAPARAO";-;1;1
"310210 ALTO RIO DOCE";-;39;39
"310240 ALVORADA DE MINAS";1;1;2
"310250 AMPARO DO SERRA";-;4;4
"310260 ANDRADAS";7;457;464
"310270 CACHOEIRA DE PAJEU";-;4;4
"310280 ANDRELANDIA";-;43;43
"310285 ANGELANDIA";2;10;12
"310290 ANTONIO CARLOS";2;50;52
"310300 ANTONIO DIAS";-;2;2
"310310 ANTONIO PRADO DE MINAS";-;5;5
"310320 ARACAI";1;6;7
"310330 ARACITABA";-;1;1
"310340 ARACUAI";-;43;43
"310350 ARAGUARI";8;329;337
"310360 ARANTINA";-;1;1
"310370 ARAPONGA";-;12;12
"310375 ARAPORA";-;45;45
"310380 ARAPUA";-;5;5
"310390 ARAUJOS";-;11;11
"310400 ARAXA";11;242;253
"310410 ARCEBURGO";-;8;8
"310420 ARCOS";2;116;118
"310430 AREADO";1;23;24
"310440 ARGIRITA";-;18;18
"310445 ARICANDUVA";-;5;5
"310450 ARINOS";4;14;18
"310460 ASTOLFO DUTRA";5;37;42
"310480 AUGUSTO DE LIMA";-;17;17
"310490 BAEPENDI";5;89;94
"310500 BALDIM";-;5;5
"310510 BAMBUI";-;13;13
"310520 BANDEIRA";-;3;3
"310540 BARAO DE COCAIS";-;28;28
"310550 BARAO DE MONTE ALTO";-;25;25
"310560 BARBACENA";4;125;129
"310570 BARRA LONGA";-;1;1
"310590 BARROSO";1;74;75
"310600 BELA VISTA DE MINAS";1;5;6
"310620 BELO HORIZONTE";14;658;672
"310630 BELO ORIENTE";1;68;69
"310640 BELO VALE";-;4;4
"310650 BERILO";-;3;3
"310660 BERTOPOLIS";-;2;2
"310670 BETIM";17;765;782
"310680 BIAS FORTES";-;21;21
"310690 BICAS";1;60;61
"310710 BOA ESPERANCA";6;389;395
"310730 BOCAIUVA";2;70;72
"310740 BOM DESPACHO";3;175;178
"310760 BOM JESUS DA PENHA";-;19;19
"310770 BOM JESUS DO AMPARO";-;3;3
"310780 BOM JESUS DO GALHO";-;5;5
"310790 BOM REPOUSO";-;13;13
"310800 BOM SUCESSO";-;88;88
"310810 BONFIM";1;26;27
"310820 BONFINOPOLIS DE MINAS";-;7;7
"310825 BONITO DE MINAS";-;3;3
"310830 BORDA DA MATA";1;125;126
"310840 BOTELHOS";-;6;6
"310855 BRASILANDIA DE MINAS";-;18;18
"310860 BRASILIA DE MINAS";2;16;18
"310870 BRAS PIRES";-;1;1
"310880 BRAUNAS";-;3;3
"310890 BRAZOPOLIS";4;95;99
"310900 BRUMADINHO";1;111;112
"310910 BUENO BRANDAO";-;43;43
"310920 BUENOPOLIS";3;16;19
"310925 BUGRE";-;18;18
"310930 BURITIS";-;41;41
"310940 BURITIZEIRO";1;16;17
"310950 CABO VERDE";1;23;24
"310960 CACHOEIRA DA PRATA";-;32;32
"310970 CACHOEIRA DE MINAS";1;34;35
"310980 CACHOEIRA DOURADA";-;10;10
"310990 CAETANOPOLIS";-;11;11
"311000 CAETE";-;68;68
"311010 CAIANA";-;4;4
"311020 CAJURI";-;12;12
"311030 CALDAS";-;65;65
"311040 CAMACHO";-;9;9
"311050 CAMANDUCAIA";1;99;100
"311060 CAMBUI";2;52;54
"311070 CAMBUQUIRA";-;7;7
"311090 CAMPANHA";-;76;76
"311110 CAMPINA VERDE";1;20;21
"311120 CAMPO BELO";4;232;236
"311140 CAMPO FLORIDO";-;50;50
"311150 CAMPOS ALTOS";-;37;37
"311160 CAMPOS GERAIS";-;11;11
"311170 CANAA";-;12;12
"311180 CANAPOLIS";-;41;41
"311190 CANA VERDE";-;5;5
"311200 CANDEIAS";2;74;76
"311205 CANTAGALO";1;2;3
"311210 CAPARAO";-;6;6
"311220 CAPELA NOVA";-;11;11
"311230 CAPELINHA";-;12;12
"311240 CAPETINGA";-;15;15
"311250 CAPIM BRANCO";-;13;13
"311260 CAPINOPOLIS";1;58;59
"311265 CAPITAO ANDRADE";-;3;3
"311270 CAPITAO ENEAS";-;4;4
"311280 CAPITOLIO";-;13;13
"311290 CAPUTIRA";-;11;11
"311300 CARAI";-;3;3
"311310 CARANAIBA";-;4;4
"311320 CARANDAI";1;16;17
"311330 CARANGOLA";2;49;51
"311340 CARATINGA";2;330;332
"311350 CARBONITA";-;14;14
"311360 CAREACU";1;11;12
"311370 CARLOS CHAGAS";1;47;48
"311380 CARMESIA";1;22;23
"311390 CARMO DA CACHOEIRA";-;7;7
"311400 CARMO DA MATA";-;2;2
"311410 CARMO DE MINAS";-;23;23
"311420 CARMO DO CAJURU";2;55;57
"311430 CARMO DO PARANAIBA";2;110;112
"311450 CARMOPOLIS DE MINAS";3;68;71
"311455 CARNEIRINHO";-;45;45
"311460 CARRANCAS";-;5;5
"311480 CARVALHOS";-;8;8
"311500 CASCALHO RICO";-;2;2
"311510 CASSIA";2;81;83
"311520 CONCEICAO DA BARRA DE MINAS";-;15;15
"311530 CATAGUASES";4;377;381
"311535 CATAS ALTAS";-;10;10
"311540 CATAS ALTAS DA NORUEGA";-;5;5
"311545 CATUJI";-;4;4
"311550 CAXAMBU";1;13;14
"311560 CEDRO DO ABAETE";-;4;4
"311570 CENTRAL DE MINAS";-;11;11
"311580 CENTRALINA";-;44;44
"311590 CHACARA";-;7;7
"311600 CHALE";-;12;12
"311610 CHAPADA DO NORTE";-;1;1
"311630 CIPOTANEA";-;11;11
"311640 CLARAVAL";1;12;13
"311660 CLAUDIO";-;70;70
"311670 COIMBRA";-;22;22
"311680 COLUNA";-;18;18
"311690 COMENDADOR GOMES";-;11;11
"311700 COMERCINHO";-;1;1
"311710 CONCEICAO DA APARECIDA";2;31;33
"311720 CONCEICAO DAS PEDRAS";-;2;2
"311730 CONCEICAO DAS ALAGOAS";3;66;69
"311760 CONCEICAO DO PARA";-;15;15
"311780 CONCEICAO DOS OUROS";1;34;35
"311783 CONEGO MARINHO";-;19;19
"311787 CONFINS";-;9;9
"311790 CONGONHAL";-;21;21
"311820 CONQUISTA";1;36;37
"311830 CONSELHEIRO LAFAIETE";7;337;344
"311840 CONSELHEIRO PENA";-;61;61
"311850 CONSOLACAO";-;30;30
"311860 CONTAGEM";9;543;552
"311870 COQUEIRAL";-;22;22
"311890 CORDISBURGO";-;16;16
"311900 CORDISLANDIA";-;10;10
"311920 COROACI";-;6;6
"311930 COROMANDEL";4;83;87
"311940 CORONEL FABRICIANO";13;312;325
"311950 CORONEL MURTA";-;6;6
"311960 CORONEL PACHECO";-;7;7
"311990 CORREGO DO BOM JESUS";-;6;6
"311995 CORREGO FUNDO";-;69;69
"312010 COUTO DE MAGALHAES DE MINAS";-;2;2
"312020 CRISTAIS";-;19;19
"312040 CRISTIANO OTONI";-;7;7
"312050 CRISTINA";1;160;161
"312060 CRUCILANDIA";-;3;3
"312070 CRUZEIRO DA FORTALEZA";-;31;31
"312080 CRUZILIA";1;33;34
"312090 CURVELO";10;342;352
"312100 DATAS";-;7;7
"312110 DELFIM MOREIRA";-;47;47
"312120 DELFINOPOLIS";-;4;4
"312125 DELTA";-;31;31
"312130 DESCOBERTO";-;3;3
"312140 DESTERRO DE ENTRE RIOS";-;19;19
"312150 DESTERRO DO MELO";-;5;5
"312170 DIOGO DE VASCONCELOS";-;9;9
"312180 DIONISIO";2;45;47
"312200 DIVINO";-;15;15
"312220 DIVINOLANDIA DE MINAS";-;5;5
"312230 DIVINOPOLIS";8;375;383
"312235 DIVISA ALEGRE";-;1;1
"312240 DIVISA NOVA";-;13;13
"312245 DIVISOPOLIS";1;4;5
"312250 DOM CAVATI";-;14;14
"312260 DOM JOAQUIM";-;2;2
"312270 DOM SILVERIO";-;13;13
"312290 DONA EUSEBIA";-;10;10
"312300 DORES DE CAMPOS";2;60;62
"312310 DORES DE GUANHAES";-;10;10
"312320 DORES DO INDAIA";-;35;35
"312330 DORES DO TURVO";-;3;3
"312350 DOURADOQUARA";-;3;3
"312352 DURANDE";-;6;6
"312360 ELOI MENDES";-;2;2
"312385 ENTRE FOLHAS";-;6;6
"312390 ENTRE RIOS DE MINAS";1;19;20
"312400 ERVALIA";-;11;11
"312410 ESMERALDAS";4;52;56
"312420 ESPERA FELIZ";2;70;72
"312430 ESPINOSA";-;24;24
"312440 ESPIRITO SANTO DO DOURADO";1;16;17
"312450 ESTIVA";-;40;40
"312460 ESTRELA DALVA";-;14;14
"312470 ESTRELA DO INDAIA";-;21;21
"312480 ESTRELA DO SUL";-;9;9
"312490 EUGENOPOLIS";2;19;21
"312500 EWBANK DA CAMARA";-;8;8
"312510 EXTREMA";6;231;237
"312520 FAMA";-;1;1
"312530 FARIA LEMOS";-;1;1
"312540 FELICIO DOS SANTOS";-;2;2
"312550 SAO GONCALO DO RIO PRETO";-;4;4
"312560 FELISBURGO";-;3;3
"312570 FELIXLANDIA";-;2;2
"312580 FERNANDES TOURINHO";-;8;8
"312595 FERVEDOURO";-;15;15
"312610 FORMIGA";7;268;275
"312630 FORTALEZA DE MINAS";1;37;38
"312640 FORTUNA DE MINAS";-;12;12
"312650 FRANCISCO BADARO";-;14;14
"312660 FRANCISCO DUMONT";-;2;2
"312670 FRANCISCO SA";-;10;10
"312690 FREI INOCENCIO";-;18;18
"312695 FREI LAGONEGRO";-;1;1
"312700 FRONTEIRA";-;7;7
"312705 FRONTEIRA DOS VALES";-;8;8
"312707 FRUTA DE LEITE";-;4;4
"312710 FRUTAL";4;108;112
"312720 FUNILANDIA";-;3;3
"312730 GALILEIA";-;13;13
"312733 GAMELEIRAS";-;3;3
"312738 GOIANA";-;1;1
"312740 GONCALVES";2;31;33
"312760 GOUVEIA";-;9;9
"312770 GOVERNADOR VALADARES";15;967;982
"312780 GRAO MOGOL";-;5;5
"312790 GRUPIARA";-;16;16
"312800 GUANHAES";10;244;254
"312810 GUAPE";-;94;94
"312825 GUARACIAMA";1;10;11
"312830 GUARANESIA";2;73;75
"312840 GUARANI";-;24;24
"312850 GUARARA";-;3;3
"312860 GUARDA-MOR";-;14;14
"312870 GUAXUPE";5;217;222
