ABADIA DOS DOURADOS;-;2;2
ABAETE;4;92;96
ACAIACA;-;5;5
ACUCENA;1;23;24
AGUA BOA;-;1;1
AGUA COMPRIDA;-;16;16
AGUANIL;-;1;1
AGUAS FORMOSAS;-;11;11
AGUAS VERMELHAS;-;1;1
AIMORES;1;32;33
AIURUOCA;-;16;16
ALAGOA;-;8;8
ALBERTINA;-;8;8
ALEM PARAIBA;11;207;218
ALFENAS;3;134;137
ALFREDO VASCONCELOS;-;11;11
ALPERCATA;-;9;9
ALPINOPOLIS;-;58;58
ALTEROSA;2;59;61
ALTO CAPARAO;-;1;1
ALTO RIO DOCE;-;39;39
ALVORADA DE MINAS;-;2;2
AMPARO DO SERRA;-;4;4
ANDRADAS;13;451;464
CACHOEIRA DE PAJEU;-;4;4
ANDRELANDIA;-;43;43
ANGELANDIA;1;11;12
ANTONIO CARLOS;1;51;52
ANTONIO DIAS;-;2;2
ANTONIO PRADO DE MINAS;-;5;5
ARACAI;-;7;7
ARACITABA;-;1;1
ARACUAI;-;43;43
ARAGUARI;6;331;337
ARANTINA;-;1;1
ARAPONGA;-;12;12
ARAPORA;-;45;45
ARAPUA;-;5;5
ARAUJOS;1;10;11
ARAXA;11;242;253
ARCEBURGO;-;8;8
ARCOS;5;113;118
AREADO;3;21;24
ARGIRITA;-;18;18
ARICANDUVA;-;5;5
ARINOS;4;14;18
ASTOLFO DUTRA;2;40;42
AUGUSTO DE LIMA;-;17;17
BAEPENDI;11;83;94
BALDIM;-;5;5
BAMBUI;-;13;13
BANDEIRA;-;3;3
BARAO DE COCAIS;-;28;28
BARAO DE MONTE ALTO;-;25;25
BARBACENA;5;124;129
BARRA LONGA;-;1;1
BARROSO;4;71;75
BELA VISTA DE MINAS;1;5;6
BELO HORIZONTE;23;649;672
BELO ORIENTE;3;66;69
BELO VALE;-;4;4
BERILO;-;3;3
BERTOPOLIS;-;2;2
BETIM;14;768;782
BIAS FORTES;-;21;21
BICAS;5;56;61
BOA ESPERANCA;6;389;395
BOCAIUVA;3;69;72
BOM DESPACHO;2;176;178
BOM JESUS DA PENHA;-;19;19
BOM JESUS DO AMPARO;-;3;3
BOM JESUS DO GALHO;-;5;5
BOM REPOUSO;-;13;13
BOM SUCESSO;2;86;88
BONFIM;-;27;27
BONFINOPOLIS DE MINAS;-;7;7
BONITO DE MINAS;-;3;3
BORDA DA MATA;5;121;126
BOTELHOS;-;6;6
BRASILANDIA DE MINAS;-;18;18
BRASILIA DE MINAS;1;17;18
BRAS PIRES;-;1;1
BRAUNAS;1;2;3
BRAZOPOLIS;6;93;99
BRUMADINHO;3;109;112
BUENO BRANDAO;-;43;43
BUENOPOLIS;-;19;19
BUGRE;1;17;18
BURITIS;-;41;41
BURITIZEIRO;-;17;17
CABO VERDE;1;23;24
CACHOEIRA DA PRATA;-;32;32
CACHOEIRA DE MINAS;3;32;35
CACHOEIRA DOURADA;-;10;10
CAETANOPOLIS;1;10;11
CAETE;1;67;68
CAIANA;-;4;4
CAJURI;-;12;12
CALDAS;-;65;65
CAMACHO;-;9;9
CAMANDUCAIA;6;94;100
CAMBUI;3;51;54
CAMBUQUIRA;-;7;7
CAMPANHA;1;75;76
CAMPINA VERDE;4;17;21
CAMPO BELO;8;228;236
CAMPO FLORIDO;-;50;50
CAMPOS ALTOS;-;37;37
CAMPOS GERAIS;-;11;11
CANAA;-;12;12
CANAPOLIS;1;40;41
CANA VERDE;-;5;5
CANDEIAS;1;75;76
CANTAGALO;1;2;3
CAPARAO;1;5;6
CAPELA NOVA;-;11;11
CAPELINHA;-;12;12
CAPETINGA;-;15;15
