ABADIA DOS DOURADOS;-;2;2
ABAETE;5;91;96
ACAIACA;1;4;5
ACUCENA;2;22;24
AGUA BOA;-;1;1
AGUA COMPRIDA;-;16;16
AGUANIL;-;1;1
AGUAS FORMOSAS;-;11;11
AGUAS VERMELHAS;-;1;1
AIMORES;2;31;33
AIURUOCA;1;15;16
ALAGOA;-;8;8
ALBERTINA;-;8;8
ALEM PARAIBA;4;214;218
ALFENAS;4;133;137
ALFREDO VASCONCELOS;-;11;11
ALPERCATA;4;5;9
ALPINOPOLIS;4;54;58
ALTEROSA;3;58;61
ALTO CAPARAO;-;1;1
ALTO RIO DOCE;1;38;39
ALVORADA DE MINAS;-;2;2
AMPARO DO SERRA;-;4;4
ANDRADAS;33;431;464
CACHOEIRA DE PAJEU;1;3;4
ANDRELANDIA;2;41;43
ANGELANDIA;1;11;12
ANTONIO CARLOS;2;50;52
ANTONIO DIAS;-;2;2
ANTONIO PRADO DE MINAS;-;5;5
ARACAI;1;6;7
ARACITABA;-;1;1
ARACUAI;2;41;43
ARAGUARI;14;323;337
ARANTINA;-;1;1
ARAPONGA;-;12;12
ARAPORA;1;44;45
ARAPUA;-;5;5
ARAUJOS;-;11;11
ARAXA;28;225;253
ARCEBURGO;-;8;8
ARCOS;6;112;118
AREADO;3;21;24
ARGIRITA;-;18;18
ARICANDUVA;-;5;5
ARINOS;7;11;18
ASTOLFO DUTRA;2;40;42
AUGUSTO DE LIMA;3;14;17
BAEPENDI;8;86;94
BALDIM;-;5;5
BAMBUI;-;13;13
BANDEIRA;-;3;3
BARAO DE COCAIS;-;28;28
BARAO DE MONTE ALTO;1;24;25
BARBACENA;5;124;129
BARRA LONGA;-;1;1
BARROSO;16;59;75
BELA VISTA DE MINAS;1;5;6
BELO HORIZONTE;28;644;672
BELO ORIENTE;6;63;69
BELO VALE;-;4;4
BERILO;-;3;3
BERTOPOLIS;-;2;2
BETIM;33;749;782
BIAS FORTES;1;20;21
BICAS;1;60;61
BOA ESPERANCA;10;385;395
BOCAIUVA;3;69;72
BOM DESPACHO;5;173;178
BOM JESUS DA PENHA;1;18;19
BOM JESUS DO AMPARO;-;3;3
BOM JESUS DO GALHO;-;5;5
BOM REPOUSO;-;13;13
BOM SUCESSO;2;86;88
BONFIM;-;27;27
BONFINOPOLIS DE MINAS;-;7;7
BONITO DE MINAS;-;3;3
BORDA DA MATA;8;118;126
BOTELHOS;-;6;6
BRASILANDIA DE MINAS;2;16;18
BRASILIA DE MINAS;3;15;18
BRAS PIRES;-;1;1
BRAUNAS;-;3;3
BRAZOPOLIS;6;93;99
BRUMADINHO;1;111;112
BUENO BRANDAO;-;43;43
BUENOPOLIS;1;18;19
BUGRE;1;17;18
BURITIS;1;40;41
