ABADIA DOS DOURADOS;-;2;2
ABAETE;47;49;96
ACAIACA;-;5;5
ACUCENA;4;20;24
AGUA BOA;1;-;1
AGUA COMPRIDA;4;12;16
AGUANIL;1;-;1
AGUAS FORMOSAS;2;9;11
AGUAS VERMELHAS;-;1;1
AIMORES;10;23;33
AIURUOCA;6;10;16
ALAGOA;4;4;8
ALBERTINA;1;7;8
ALEM PARAIBA;77;141;218
ALFENAS;61;76;137
ALFREDO VASCONCELOS;3;8;11
ALPERCATA;3;6;9
ALPINOPOLIS;23;35;58
ALTEROSA;32;29;61
ALTO CAPARAO;1;-;1
ALTO RIO DOCE;6;33;39
ALVORADA DE MINAS;1;1;2
AMPARO DO SERRA;1;3;4
ANDRADAS;238;226;464
CACHOEIRA DE PAJEU;1;3;4
ANDRELANDIA;8;35;43
ANGELANDIA;2;10;12
ANTONIO CARLOS;20;32;52
ANTONIO DIAS;2;-;2
ANTONIO PRADO DE MINAS;2;3;5
ARACAI;2;5;7
ARACITABA;-;1;1
ARACUAI;24;19;43
ARAGUARI;164;173;337
ARANTINA;-;1;1
ARAPONGA;3;9;12
ARAPORA;31;14;45
ARAPUA;4;1;5
ARAUJOS;7;4;11
ARAXA;111;142;253
ARCEBURGO;1;7;8
ARCOS;56;62;118
AREADO;4;20;24
ARGIRITA;4;14;18
ARICANDUVA;1;4;5
ARINOS;13;5;18
ASTOLFO DUTRA;16;26;42
AUGUSTO DE LIMA;3;14;17
BAEPENDI;53;41;94
BALDIM;1;4;5
BAMBUI;8;5;13
BANDEIRA;-;3;3
BARAO DE COCAIS;-;28;28
BARAO DE MONTE ALTO;7;18;25
BARBACENA;53;76;129
BARRA LONGA;-;1;1
BARROSO;29;46;75
BELA VISTA DE MINAS;3;3;6
BELO HORIZONTE;330;342;672
BELO ORIENTE;17;52;69
BELO VALE;1;3;4
BERILO;3;-;3
BERTOPOLIS;-;2;2
BETIM;415;367;782
BIAS FORTES;9;12;21
BICAS;12;49;61
BOA ESPERANCA;156;239;395
BOCAIUVA;28;44;72
BOM DESPACHO;85;93;178
BOM JESUS DA PENHA;3;16;19
BOM JESUS DO AMPARO;-;3;3
BOM JESUS DO GALHO;3;2;5
BOM REPOUSO;-;13;13
BOM SUCESSO;55;33;88
BONFIM;6;21;27
BONFINOPOLIS DE MINAS;1;6;7
BONITO DE MINAS;3;-;3
BORDA DA MATA;47;79;126
BOTELHOS;1;5;6
BRASILANDIA DE MINAS;8;10;18
BRASILIA DE MINAS;7;11;18
BRAS PIRES;-;1;1
BRAUNAS;2;1;3
BRAZOPOLIS;35;64;99
BRUMADINHO;43;69;112
BUENO BRANDAO;10;33;43
BUENOPOLIS;10;9;19
BUGRE;7;11;18
BURITIS;20;21;41
BURITIZEIRO;4;13;17
CABO VERDE;15;9;24
CACHOEIRA DA PRATA;12;20;32
CACHOEIRA DE MINAS;13;22;35
CACHOEIRA DOURADA;5;5;10
CAETANOPOLIS;6;5;11
CAETE;38;30;68
CAIANA;-;4;4
CAJURI;1;11;12
CALDAS;35;30;65
CAMACHO;4;5;9
CAMANDUCAIA;38;62;100
