ABADIA DOS DOURADOS;-;2;2
ABAETE;34;62;96
ACAIACA;1;4;5
ACUCENA;8;16;24
AGUA BOA;-;1;1
AGUA COMPRIDA;4;12;16
AGUANIL;-;1;1
AGUAS FORMOSAS;1;10;11
AGUAS VERMELHAS;1;-;1
AIMORES;11;22;33
AIURUOCA;4;12;16
ALAGOA;5;3;8
ALBERTINA;2;6;8
ALEM PARAIBA;52;166;218
ALFENAS;68;69;137
ALFREDO VASCONCELOS;1;10;11
ALPERCATA;4;5;9
ALPINOPOLIS;20;38;58
ALTEROSA;21;40;61
ALTO CAPARAO;-;1;1
ALTO RIO DOCE;6;33;39
ALVORADA DE MINAS;-;2;2
AMPARO DO SERRA;2;2;4
ANDRADAS;243;221;464
CACHOEIRA DE PAJEU;1;3;4
ANDRELANDIA;9;34;43
ANGELANDIA;3;9;12
ANTONIO CARLOS;15;37;52
ANTONIO DIAS;-;2;2
ANTONIO PRADO DE MINAS;2;3;5
ARACAI;1;6;7
ARACITABA;-;1;1
ARACUAI;15;28;43
ARAGUARI;122;215;337
ARANTINA;-;1;1
ARAPONGA;4;8;12
ARAPORA;30;15;45
ARAPUA;3;2;5
ARAUJOS;7;4;11
ARAXA;96;157;253
ARCEBURGO;1;7;8
ARCOS;54;64;118
AREADO;11;13;24
ARGIRITA;2;16;18
ARICANDUVA;1;4;5
ARINOS;6;12;18
ASTOLFO DUTRA;6;36;42
AUGUSTO DE LIMA;3;14;17
BAEPENDI;40;54;94
BALDIM;1;4;5
BAMBUI;4;9;13
BANDEIRA;1;2;3
BARAO DE COCAIS;-;28;28
BARAO DE MONTE ALTO;7;18;25
BARBACENA;50;79;129
BARRA LONGA;1;-;1
BARROSO;28;47;75
BELA VISTA DE MINAS;3;3;6
BELO HORIZONTE;304;368;672
BELO ORIENTE;28;41;69
BELO VALE;-;4;4
BERILO;2;1;3
BERTOPOLIS;1;1;2
BETIM;297;485;782
BIAS FORTES;6;15;21
BICAS;24;37;61
BOA ESPERANCA;231;164;395
BOCAIUVA;13;59;72
BOM DESPACHO;81;97;178
BOM JESUS DA PENHA;8;11;19
BOM JESUS DO AMPARO;2;1;3
BOM JESUS DO GALHO;1;4;5
BOM REPOUSO;7;6;13
BOM SUCESSO;42;46;88
BONFIM;12;15;27
BONFINOPOLIS DE MINAS;2;5;7
BONITO DE MINAS;2;1;3
BORDA DA MATA;25;101;126
BOTELHOS;2;4;6
BRASILANDIA DE MINAS;5;13;18
BRASILIA DE MINAS;5;13;18
BRAS PIRES;-;1;1
BRAUNAS;1;2;3
BRAZOPOLIS;50;49;99
BRUMADINHO;44;68;112
BUENO BRANDAO;16;27;43
BUENOPOLIS;8;11;19
BUGRE;3;15;18
BURITIS;11;30;41
BURITIZEIRO;5;12;17
CABO VERDE;9;15;24
CACHOEIRA DA PRATA;7;25;32
CACHOEIRA DE MINAS;11;24;35
CACHOEIRA DOURADA;1;9;10
CAETANOPOLIS;3;8;11
CAETE;21;47;68
CAIANA;-;4;4
CAJURI;2;10;12
CALDAS;25;40;65
CAMACHO;7;2;9
CAMANDUCAIA;26;74;100
CAMBUI;8;46;54
CAMBUQUIRA;1;6;7
CAMPANHA;25;51;76
CAMPINA VERDE;10;11;21
CAMPO BELO;74;162;236
CAMPO FLORIDO;28;22;50
CAMPOS ALTOS;17;20;37
CAMPOS GERAIS;5;6;11
CANAA;4;8;12
CANAPOLIS;28;13;41
CANA VERDE;-;5;5
CANDEIAS;31;45;76
CANTAGALO;1;2;3
CAPARAO;3;3;6
CAPELA NOVA;6;5;11
CAPELINHA;2;10;12
CAPETINGA;5;10;15
CAPIM BRANCO;2;11;13
CAPINOPOLIS;13;46;59
CAPITAO ANDRADE;1;2;3
CAPITAO ENEAS;4;-;4
CAPITOLIO;1;12;13
CAPUTIRA;-;11;11
CARAI;2;1;3
CARANAIBA;2;2;4
CARANDAI;6;11;17
CARANGOLA;17;34;51
CARATINGA;127;205;332
CARBONITA;4;10;14
CAREACU;4;8;12
CARLOS CHAGAS;15;33;48
CARMESIA;16;7;23
CARMO DA CACHOEIRA;1;6;7
CARMO DA MATA;1;1;2
CARMO DE MINAS;9;14;23
CARMO DO CAJURU;12;45;57
CARMO DO PARANAIBA;53;59;112
CARMOPOLIS DE MINAS;15;56;71
CARNEIRINHO;17;28;45
CARRANCAS;2;3;5
CARVALHOS;-;8;8
CASCALHO RICO;1;1;2
CASSIA;21;62;83
CONCEICAO DA BARRA DE MINAS;1;14;15
CATAGUASES;148;233;381
CATAS ALTAS;3;7;10
CATAS ALTAS DA NORUEGA;1;4;5
CATUJI;2;2;4
CAXAMBU;3;11;14
CEDRO DO ABAETE;2;2;4
CENTRAL DE MINAS;1;10;11
CENTRALINA;19;25;44
CHACARA;4;3;7
CHALE;2;10;12
CHAPADA DO NORTE;-;1;1
CIPOTANEA;3;8;11
CLARAVAL;8;5;13
CLAUDIO;26;44;70
COIMBRA;2;20;22
COLUNA;7;11;18
COMENDADOR GOMES;3;8;11
COMERCINHO;1;-;1
CONCEICAO DA APARECIDA;7;26;33
CONCEICAO DAS PEDRAS;-;2;2
CONCEICAO DAS ALAGOAS;23;46;69
CONCEICAO DO PARA;9;6;15
CONCEICAO DOS OUROS;11;24;35
CONEGO MARINHO;-;19;19
CONFINS;4;5;9
CONGONHAL;8;13;21
CONQUISTA;14;23;37
CONSELHEIRO LAFAIETE;106;238;344
CONSELHEIRO PENA;37;24;61
CONSOLACAO;23;7;30
CONTAGEM;221;331;552
COQUEIRAL;6;16;22
CORDISBURGO;5;11;16
CORDISLANDIA;6;4;10
COROACI;1;5;6
COROMANDEL;36;51;87
CORONEL FABRICIANO;135;190;325
CORONEL MURTA;4;2;6
CORONEL PACHECO;-;7;7
CORREGO DO BOM JESUS;2;4;6
CORREGO FUNDO;10;59;69
COUTO DE MAGALHAES DE MINAS;1;1;2
CRISTAIS;4;15;19
CRISTIANO OTONI;2;5;7
CRISTINA;54;107;161
CRUCILANDIA;1;2;3
CRUZEIRO DA FORTALEZA;12;19;31
CRUZILIA;20;14;34
CURVELO;140;212;352
DATAS;2;5;7
DELFIM MOREIRA;12;35;47
DELFINOPOLIS;-;4;4
DELTA;8;23;31
DESCOBERTO;2;1;3
DESTERRO DE ENTRE RIOS;10;9;19
DESTERRO DO MELO;-;5;5
DIOGO DE VASCONCELOS;-;9;9
DIONISIO;18;29;47
DIVINO;4;11;15
DIVINOLANDIA DE MINAS;3;2;5
DIVINOPOLIS;183;200;383
DIVISA ALEGRE;1;-;1
DIVISA NOVA;4;9;13
DIVISOPOLIS;2;3;5
DOM CAVATI;8;6;14
DOM JOAQUIM;-;2;2
DOM SILVERIO;4;9;13
DONA EUSEBIA;2;8;10
DORES DE CAMPOS;16;46;62
DORES DE GUANHAES;-;10;10
DORES DO INDAIA;19;16;35
DORES DO TURVO;-;3;3
