ABADIA DOS DOURADOS;-;2;2
ABAETE;37;59;96
ACAIACA;-;5;5
ACUCENA;3;21;24
AGUA BOA;1;-;1
AGUA COMPRIDA;5;11;16
AGUANIL;-;1;1
AGUAS FORMOSAS;1;10;11
AGUAS VERMELHAS;-;1;1
AIMORES;7;26;33
AIURUOCA;2;14;16
ALAGOA;3;5;8
ALBERTINA;3;5;8
ALEM PARAIBA;31;187;218
ALFENAS;25;112;137
ALFREDO VASCONCELOS;2;9;11
ALPERCATA;-;9;9
ALPINOPOLIS;11;47;58
ALTEROSA;13;48;61
ALTO CAPARAO;-;1;1
ALTO RIO DOCE;10;29;39
ALVORADA DE MINAS;-;2;2
AMPARO DO SERRA;-;4;4
ANDRADAS;105;359;464
CACHOEIRA DE PAJEU;-;4;4
ANDRELANDIA;7;36;43
ANGELANDIA;4;8;12
ANTONIO CARLOS;12;40;52
ANTONIO DIAS;-;2;2
ANTONIO PRADO DE MINAS;1;4;5
ARACAI;1;6;7
ARACITABA;-;1;1
ARACUAI;3;40;43
ARAGUARI;69;268;337
ARANTINA;-;1;1
ARAPONGA;4;8;12
ARAPORA;13;32;45
ARAPUA;1;4;5
ARAUJOS;1;10;11
ARAXA;60;193;253
ARCEBURGO;2;6;8
ARCOS;30;88;118
AREADO;6;18;24
ARGIRITA;3;15;18
ARICANDUVA;1;4;5
ARINOS;9;9;18
ASTOLFO DUTRA;14;28;42
AUGUSTO DE LIMA;3;14;17
BAEPENDI;19;75;94
BALDIM;1;4;5
BAMBUI;3;10;13
BANDEIRA;1;2;3
BARAO DE COCAIS;-;28;28
BARAO DE MONTE ALTO;3;22;25
BARBACENA;27;102;129
BARRA LONGA;-;1;1
BARROSO;18;57;75
BELA VISTA DE MINAS;2;4;6
BELO HORIZONTE;112;560;672
BELO ORIENTE;9;60;69
BELO VALE;-;4;4
BERILO;-;3;3
BERTOPOLIS;1;1;2
BETIM;157;625;782
BIAS FORTES;6;15;21
BICAS;10;51;61
BOA ESPERANCA;99;296;395
BOCAIUVA;16;56;72
BOM DESPACHO;33;145;178
BOM JESUS DA PENHA;6;13;19
BOM JESUS DO AMPARO;-;3;3
BOM JESUS DO GALHO;4;1;5
BOM REPOUSO;1;12;13
BOM SUCESSO;21;67;88
BONFIM;4;23;27
BONFINOPOLIS DE MINAS;-;7;7
BONITO DE MINAS;-;3;3
BORDA DA MATA;27;99;126
BOTELHOS;-;6;6
BRASILANDIA DE MINAS;4;14;18
BRASILIA DE MINAS;8;10;18
BRAS PIRES;1;-;1
BRAUNAS;1;2;3
BRAZOPOLIS;32;67;99
BRUMADINHO;18;94;112
BUENO BRANDAO;7;36;43
BUENOPOLIS;6;13;19
BUGRE;4;14;18
BURITIS;10;31;41
BURITIZEIRO;-;17;17
CABO VERDE;6;18;24
CACHOEIRA DA PRATA;7;25;32
CACHOEIRA DE MINAS;3;32;35
CACHOEIRA DOURADA;4;6;10
CAETANOPOLIS;2;9;11
CAETE;15;53;68
CAIANA;-;4;4
CAJURI;3;9;12
CALDAS;14;51;65
CAMACHO;1;8;9
CAMANDUCAIA;25;75;100
CAMBUI;17;37;54
CAMBUQUIRA;1;6;7
CAMPANHA;21;55;76
CAMPINA VERDE;6;15;21
CAMPO BELO;54;182;236
CAMPO FLORIDO;11;39;50
CAMPOS ALTOS;12;25;37
CAMPOS GERAIS;1;10;11
CANAA;4;8;12
CANAPOLIS;13;28;41
CANA VERDE;2;3;5
CANDEIAS;16;60;76
CANTAGALO;-;3;3
CAPARAO;-;6;6
CAPELA NOVA;3;8;11
CAPELINHA;5;7;12
CAPETINGA;1;14;15
CAPIM BRANCO;1;12;13
CAPINOPOLIS;8;51;59
CAPITAO ANDRADE;1;2;3
CAPITAO ENEAS;-;4;4
CAPITOLIO;2;11;13
CAPUTIRA;1;10;11
CARAI;-;3;3
CARANAIBA;1;3;4
CARANDAI;5;12;17
CARANGOLA;13;38;51
CARATINGA;61;271;332
CARBONITA;3;11;14
CAREACU;2;10;12
CARLOS CHAGAS;8;40;48
CARMESIA;3;20;23
CARMO DA CACHOEIRA;1;6;7
CARMO DA MATA;1;1;2
CARMO DE MINAS;7;16;23
CARMO DO CAJURU;16;41;57
CARMO DO PARANAIBA;31;81;112
CARMOPOLIS DE MINAS;15;56;71
CARNEIRINHO;14;31;45
CARRANCAS;-;5;5
CARVALHOS;1;7;8
CASCALHO RICO;-;2;2
CASSIA;19;64;83
CONCEICAO DA BARRA DE MINAS;6;9;15
CATAGUASES;74;307;381
CATAS ALTAS;1;9;10
CATAS ALTAS DA NORUEGA;-;5;5
CATUJI;1;3;4
CAXAMBU;4;10;14
CEDRO DO ABAETE;-;4;4
CENTRAL DE MINAS;1;10;11
CENTRALINA;7;37;44
CHACARA;1;6;7
CHALE;5;7;12
CHAPADA DO NORTE;-;1;1
CIPOTANEA;-;11;11
CLARAVAL;3;10;13
CLAUDIO;14;56;70
COIMBRA;1;21;22
COLUNA;2;16;18
COMENDADOR GOMES;4;7;11
COMERCINHO;-;1;1
CONCEICAO DA APARECIDA;6;27;33
CONCEICAO DAS PEDRAS;-;2;2
CONCEICAO DAS ALAGOAS;16;53;69
CONCEICAO DO PARA;2;13;15
CONCEICAO DOS OUROS;2;33;35
CONEGO MARINHO;3;16;19
CONFINS;2;7;9
CONGONHAL;4;17;21
CONQUISTA;12;25;37
CONSELHEIRO LAFAIETE;65;279;344
CONSELHEIRO PENA;16;45;61
CONSOLACAO;9;21;30
CONTAGEM;108;444;552
COQUEIRAL;3;19;22
CORDISBURGO;1;15;16
CORDISLANDIA;2;8;10
COROACI;1;5;6
COROMANDEL;28;59;87
CORONEL FABRICIANO;57;268;325
CORONEL MURTA;1;5;6
CORONEL PACHECO;1;6;7
CORREGO DO BOM JESUS;1;5;6
CORREGO FUNDO;7;62;69
COUTO DE MAGALHAES DE MINAS;1;1;2
CRISTAIS;3;16;19
CRISTIANO OTONI;1;6;7
