Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Tabagismo
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"310010 ABADIA DOS DOURADOS";-;2;2
"310020 ABAETE";37;59;96
"310040 ACAIACA";-;5;5
"310050 ACUCENA";3;21;24
"310060 AGUA BOA";1;-;1
"310070 AGUA COMPRIDA";5;11;16
"310080 AGUANIL";-;1;1
"310090 AGUAS FORMOSAS";1;10;11
"310100 AGUAS VERMELHAS";-;1;1
"310110 AIMORES";7;26;33
"310120 AIURUOCA";2;14;16
"310130 ALAGOA";3;5;8
"310140 ALBERTINA";3;5;8
"310150 ALEM PARAIBA";31;187;218
"310160 ALFENAS";25;112;137
"310163 ALFREDO VASCONCELOS";2;9;11
"310180 ALPERCATA";-;9;9
"310190 ALPINOPOLIS";11;47;58
"310200 ALTEROSA";13;48;61
"310205 ALTO CAPARAO";-;1;1
"310210 ALTO RIO DOCE";10;29;39
"310240 ALVORADA DE MINAS";-;2;2
"310250 AMPARO DO SERRA";-;4;4
"310260 ANDRADAS";105;359;464
"310270 CACHOEIRA DE PAJEU";-;4;4
"310280 ANDRELANDIA";7;36;43
"310285 ANGELANDIA";4;8;12
"310290 ANTONIO CARLOS";12;40;52
"310300 ANTONIO DIAS";-;2;2
"310310 ANTONIO PRADO DE MINAS";1;4;5
"310320 ARACAI";1;6;7
"310330 ARACITABA";-;1;1
"310340 ARACUAI";3;40;43
"310350 ARAGUARI";69;268;337
"310360 ARANTINA";-;1;1
"310370 ARAPONGA";4;8;12
"310375 ARAPORA";13;32;45
"310380 ARAPUA";1;4;5
"310390 ARAUJOS";1;10;11
"310400 ARAXA";60;193;253
"310410 ARCEBURGO";2;6;8
"310420 ARCOS";30;88;118
"310430 AREADO";6;18;24
"310440 ARGIRITA";3;15;18
"310445 ARICANDUVA";1;4;5
"310450 ARINOS";9;9;18
"310460 ASTOLFO DUTRA";14;28;42
"310480 AUGUSTO DE LIMA";3;14;17
"310490 BAEPENDI";19;75;94
"310500 BALDIM";1;4;5
"310510 BAMBUI";3;10;13
"310520 BANDEIRA";1;2;3
"310540 BARAO DE COCAIS";-;28;28
"310550 BARAO DE MONTE ALTO";3;22;25
"310560 BARBACENA";27;102;129
"310570 BARRA LONGA";-;1;1
"310590 BARROSO";18;57;75
"310600 BELA VISTA DE MINAS";2;4;6
"310620 BELO HORIZONTE";112;560;672
"310630 BELO ORIENTE";9;60;69
"310640 BELO VALE";-;4;4
"310650 BERILO";-;3;3
"310660 BERTOPOLIS";1;1;2
"310670 BETIM";157;625;782
"310680 BIAS FORTES";6;15;21
"310690 BICAS";10;51;61
"310710 BOA ESPERANCA";99;296;395
"310730 BOCAIUVA";16;56;72
"310740 BOM DESPACHO";33;145;178
"310760 BOM JESUS DA PENHA";6;13;19
"310770 BOM JESUS DO AMPARO";-;3;3
"310780 BOM JESUS DO GALHO";4;1;5
"310790 BOM REPOUSO";1;12;13
"310800 BOM SUCESSO";21;67;88
"310810 BONFIM";4;23;27
"310820 BONFINOPOLIS DE MINAS";-;7;7
"310825 BONITO DE MINAS";-;3;3
"310830 BORDA DA MATA";27;99;126
"310840 BOTELHOS";-;6;6
"310855 BRASILANDIA DE MINAS";4;14;18
"310860 BRASILIA DE MINAS";8;10;18
"310870 BRAS PIRES";1;-;1
"310880 BRAUNAS";1;2;3
"310890 BRAZOPOLIS";32;67;99
"310900 BRUMADINHO";18;94;112
"310910 BUENO BRANDAO";7;36;43
"310920 BUENOPOLIS";6;13;19
"310925 BUGRE";4;14;18
"310930 BURITIS";10;31;41
"310940 BURITIZEIRO";-;17;17
"310950 CABO VERDE";6;18;24
"310960 CACHOEIRA DA PRATA";7;25;32
"310970 CACHOEIRA DE MINAS";3;32;35
"310980 CACHOEIRA DOURADA";4;6;10
"310990 CAETANOPOLIS";2;9;11
"311000 CAETE";15;53;68
