Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Sedentarismo
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"310010 ABADIA DOS DOURADOS";-;2;2
"310020 ABAETE";47;49;96
"310040 ACAIACA";-;5;5
"310050 ACUCENA";4;20;24
"310060 AGUA BOA";1;-;1
"310070 AGUA COMPRIDA";4;12;16
"310080 AGUANIL";1;-;1
"310090 AGUAS FORMOSAS";2;9;11
"310100 AGUAS VERMELHAS";-;1;1
"310110 AIMORES";10;23;33
"310120 AIURUOCA";6;10;16
"310130 ALAGOA";4;4;8
"310140 ALBERTINA";1;7;8
"310150 ALEM PARAIBA";77;141;218
"310160 ALFENAS";61;76;137
"310163 ALFREDO VASCONCELOS";3;8;11
"310180 ALPERCATA";3;6;9
"310190 ALPINOPOLIS";23;35;58
"310200 ALTEROSA";32;29;61
"310205 ALTO CAPARAO";1;-;1
"310210 ALTO RIO DOCE";6;33;39
"310240 ALVORADA DE MINAS";1;1;2
"310250 AMPARO DO SERRA";1;3;4
"310260 ANDRADAS";238;226;464
"310270 CACHOEIRA DE PAJEU";1;3;4
"310280 ANDRELANDIA";8;35;43
"310285 ANGELANDIA";2;10;12
"310290 ANTONIO CARLOS";20;32;52
"310300 ANTONIO DIAS";2;-;2
"310310 ANTONIO PRADO DE MINAS";2;3;5
"310320 ARACAI";2;5;7
"310330 ARACITABA";-;1;1
"310340 ARACUAI";24;19;43
"310350 ARAGUARI";164;173;337
"310360 ARANTINA";-;1;1
"310370 ARAPONGA";3;9;12
"310375 ARAPORA";31;14;45
"310380 ARAPUA";4;1;5
"310390 ARAUJOS";7;4;11
"310400 ARAXA";111;142;253
"310410 ARCEBURGO";1;7;8
"310420 ARCOS";56;62;118
"310430 AREADO";4;20;24
"310440 ARGIRITA";4;14;18
"310445 ARICANDUVA";1;4;5
"310450 ARINOS";13;5;18
"310460 ASTOLFO DUTRA";16;26;42
"310480 AUGUSTO DE LIMA";3;14;17
"310490 BAEPENDI";53;41;94
"310500 BALDIM";1;4;5
"310510 BAMBUI";8;5;13
"310520 BANDEIRA";-;3;3
"310540 BARAO DE COCAIS";-;28;28
"310550 BARAO DE MONTE ALTO";7;18;25
"310560 BARBACENA";53;76;129
"310570 BARRA LONGA";-;1;1
"310590 BARROSO";29;46;75
"310600 BELA VISTA DE MINAS";3;3;6
"310620 BELO HORIZONTE";330;342;672
"310630 BELO ORIENTE";17;52;69
"310640 BELO VALE";1;3;4
"310650 BERILO";3;-;3
"310660 BERTOPOLIS";-;2;2
"310670 BETIM";415;367;782
"310680 BIAS FORTES";9;12;21
"310690 BICAS";12;49;61
"310710 BOA ESPERANCA";156;239;395
"310730 BOCAIUVA";28;44;72
"310740 BOM DESPACHO";85;93;178
"310760 BOM JESUS DA PENHA";3;16;19
"310770 BOM JESUS DO AMPARO";-;3;3
"310780 BOM JESUS DO GALHO";3;2;5
"310790 BOM REPOUSO";-;13;13
"310800 BOM SUCESSO";55;33;88
"310810 BONFIM";6;21;27
"310820 BONFINOPOLIS DE MINAS";1;6;7
"310825 BONITO DE MINAS";3;-;3
"310830 BORDA DA MATA";47;79;126
"310840 BOTELHOS";1;5;6
"310855 BRASILANDIA DE MINAS";8;10;18
"310860 BRASILIA DE MINAS";7;11;18
"310870 BRAS PIRES";-;1;1
"310880 BRAUNAS";2;1;3
"310890 BRAZOPOLIS";35;64;99
"310900 BRUMADINHO";43;69;112
"310910 BUENO BRANDAO";10;33;43
"310920 BUENOPOLIS";10;9;19
"310925 BUGRE";7;11;18
"310930 BURITIS";20;21;41
"310940 BURITIZEIRO";4;13;17
"310950 CABO VERDE";15;9;24
"310960 CACHOEIRA DA PRATA";12;20;32
"310970 CACHOEIRA DE MINAS";13;22;35
"310980 CACHOEIRA DOURADA";5;5;10
"310990 CAETANOPOLIS";6;5;11
"311000 CAETE";38;30;68
"311010 CAIANA";-;4;4
"311020 CAJURI";1;11;12
"311030 CALDAS";35;30;65
"311040 CAMACHO";4;5;9
"311050 CAMANDUCAIA";38;62;100
"311060 CAMBUI";25;29;54
"311070 CAMBUQUIRA";1;6;7
"311090 CAMPANHA";26;50;76
"311110 CAMPINA VERDE";9;12;21
"311120 CAMPO BELO";100;136;236
"311140 CAMPO FLORIDO";18;32;50
